method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
simple_ratio,1,443,7,capulet age 13 tybalt capulet cousin of juliet sampson capulet,        ,23
partial_ratio,1,535,1,shakespeare verona italy—1590s july romeo son of montague benvoliomontague cousin,        ,38
simple_ratio,1,418,9,servant gregorycapulet servant lord capulet father of juliet in his, moment your line of sight is,42
partial_ratio,1,443,7,capulet age 13 tybalt capulet cousin of juliet sampson capulet, moment your line of sight is,55
token_sort_ratio,1,523,2,son of montague benvoliomontague cousin of romeo balthasar montague servant, moment your line of sight is,39
token_set_ratio,1,510,3,of romeo balthasar montague servant to romeo abram montague servant, moment your line of sight is,44
partial_token_sort_ratio,1,523,2,son of montague benvoliomontague cousin of romeo balthasar montague servant, moment your line of sight is,54
simple_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, the moment your line of sight is blocked dont,46
partial_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, the moment your line of sight is blocked dont,49
token_sort_ratio,1,486,4,to romeo abram montague servant lord montaguefather of romeo lady, the moment your line of sight is blocked dont,42
token_set_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, the moment your line of sight is blocked dont,48
partial_token_sort_ratio,1,418,9,servant gregorycapulet servant lord capulet father of juliet in his, the moment your line of sight is blocked dont,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed, moment your line of sight is blocked dont panic first,47
partial_ratio,1,351,15,of romeo related to prince county paris count to wed, moment your line of sight is blocked dont panic first,48
token_sort_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, moment your line of sight is blocked dont panic first,43
token_set_ratio,1,406,10,father of juliet in his 50s lady capulet mother of, moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,418,9,servant gregorycapulet servant lord capulet father of juliet in his, moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,youre lying of sight is blocked dont panic first turn,44
partial_ratio,1,351,15,of romeo related to prince county paris count to wed,youre lying of sight is blocked dont panic first turn,46
token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,youre lying of sight is blocked dont panic first turn,45
token_set_ratio,1,351,15,of romeo related to prince county paris count to wed,youre lying of sight is blocked dont panic first turn,45
partial_token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,youre lying of sight is blocked dont panic first turn,46
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,46
partial_ratio,1,173,23,etc shakespeare’s complete original script based on the second quarto,moment your line of sight is blocked dont panic first,50
token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,44
token_set_ratio,1,363,14,servant to nurse mercutio friend of romeo related to prince,moment your line of sight is blocked dont panic first,46
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,moment your line of sight is blocked dont panic first,49
simple_ratio,1,351,15,of romeo related to prince county paris count to wed,of sight is blocked dont panic first turn on the,48
partial_ratio,1,161,26,alternate text from other editions indicated as 1 first quarto,of sight is blocked dont panic first turn on the,49
token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,of sight is blocked dont panic first turn on the,44
token_set_ratio,1,351,15,of romeo related to prince county paris count to wed,of sight is blocked dont panic first turn on the,45
partial_token_sort_ratio,1,351,15,of romeo related to prince county paris count to wed,of sight is blocked dont panic first turn on the,47
simple_ratio,1,338,16,county paris count to wed juliet related to prince prince,dont panic first turn on the double flash then check,51
partial_ratio,1,161,27,indicated as 1 first quarto of 1597 2 second quarto,dont panic first turn on the double flash then check,47
token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,dont panic first turn on the double flash then check,48
token_set_ratio,1,351,15,of romeo related to prince county paris count to wed,dont panic first turn on the double flash then check,46
partial_token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,dont panic first turn on the double flash then check,50
simple_ratio,1,314,19,who marries romeo juliet friar john carries message for friar,the double flash then check the distance of the car,46
partial_ratio,1,126,34,linenumbering matches the folger library edition of 1992 spelling and,the double flash then check the distance of the car,47
token_sort_ratio,1,326,17,juliet related to prince prince escalusprince of verona friar lawrencefranciscan,the double flash then check the distance of the car,46
token_set_ratio,1,351,15,of romeo related to prince county paris count to wed,the double flash then check the distance of the car,46
partial_token_sort_ratio,1,338,16,county paris count to wed juliet related to prince prince,the double flash then check the distance of the car,51
