search_type,best_score,target_string,chunk_text,page_number
local,0, now ill decide off in his deathbed,,
local,51, now ill decide off in his deathbed light,servant gregorycapulet servant lord capulet father of juliet in his,1
local,0,now old desired dog in his deathbed eye and younger,,
local,0,now old desire doth in his deathbed eye and young,,
local,0,now old desire doth in his death bed light and,,
global,73, now old desire doth in his death bed light and young affections grips to his hair that,juliet is dead he plans to die by her side,72
local,89,now old desire doth in his deathbed light and young,old desire doth in his deathbed lie and young affection,19
local,83,old desire doth in his death bed light and young,old desire doth in his deathbed lie and young affection,19
local,81,doth in his death that lie and young affections grips,old desire doth in his deathbed lie and young affection,19
local,82,his death bed light and young affections grips to his,deathbed lie and young affection gapes to be his heir,19
local,72,and young affections grapes to his hair that theyre for,deathbed lie and young affection gapes to be his heir,19
local,55,his crepes to his hair that theyre fullwing enjoy affection,gapes to be his heir new love desires that fair,19
local,58,there that there for we enjoy affection theres greats to,deathbed lie and young affection gapes to be his heir,19
local,64,enjoy affection the scrapes to be his there that fifth,deathbed lie and young affection gapes to be his heir,19
local,62,enjoy affection as great to be here sir that fifth,deathbed lie and young affection gapes to be his heir,19
local,68,to be his er that fifth which love grown and,gapes to be his heir new love desires that fair,19
local,74, that fifth which love grown and would die,for which love groaned for and would die beautiful woman,19
local,0, of grit and wood dye,,
local,0, 6p is completed,,
local,0,the shakespeares completed mission script based on the same quarter,,
local,0,the shakespeares completed visual script based on the same quarter,,
local,0,shakespeares completed visual script based on the same quarter of,,
global,68, shakespeares completed visual script based on the same quarter of 1599 with corections and alternate text and other editions,wedding 451 they find juliet and think she is dead,72
local,82,shakespeares complete emotional script based on the same quarter of,etc shakespeare’s complete original script based on the second quarto,1
local,78,the same quarter of 5999 with corrections and alternate days,of 1599 with corrections and alternate text from other editions,1
local,67,line with corrections and also take some other additions indicated,of 1599 with corrections and alternate text from other editions,1
local,83,and alternate text and other additions indicated as 1st quarter,alternate text from other editions indicated as 1 first quarto,1
local,77, additions indicated as 1st quarter 1597 second order additions,indicated as 1 first quarto of 1597 2 second quarto,1
local,75, indicated as 1st quarter 59 7 second order additions,indicated as 1 first quarto of 1597 2 second quarto,1
local,72, first quarter 597 second quarter additions,indicated as 1 first quarto of 1597 2 second quarto,1
local,55, 597 second order additions,of 1597 2 second quarto of 1599 3 third quarto,1
local,52, 97 second order additions,based on the second quarto of 1599 with corrections and,1
local,0, additions,,
