method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
simple_ratio,2,708,46,rank in fair verona where we lay our scene from,     ,19
partial_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,     ,40
simple_ratio,2,720,45,both alike in dignity families rank in fair verona where, ,4
partial_ratio,2,732,43,performance david hundsness editor 2004 prologue chorus 101 two households, ,100
simple_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families, two households,38
partial_ratio,2,732,43,performance david hundsness editor 2004 prologue chorus 101 two households, two households,100
token_sort_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families, two households,35
token_set_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families, two households,100
partial_token_sort_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families, two households,79
simple_ratio,2,720,45,both alike in dignity families rank in fair verona where, two hustles full landing activity in the mirror,42
partial_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families, two hustles full landing activity in the mirror,49
token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a, two hustles full landing activity in the mirror,51
token_set_ratio,2,673,52,fatal loins of these two foes fateful children 105 a, two hustles full landing activity in the mirror,51
partial_token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a, two hustles full landing activity in the mirror,57
simple_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,two households full of light and dignity theyre in a,53
partial_ratio,2,732,44,prologue chorus 101 two households both alike in dignity families,two households full of light and dignity theyre in a,64
token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,two households full of light and dignity theyre in a,56
token_set_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,two households full of light and dignity theyre in a,56
partial_token_sort_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,two households full of light and dignity theyre in a,60
simple_ratio,2,708,46,rank in fair verona where we lay our scene from,its a good evening were all done with every layer,44
partial_ratio,2,708,46,rank in fair verona where we lay our scene from,its a good evening were all done with every layer,48
token_sort_ratio,2,650,56,piteous overthrows unfortunate pitiful downfall doth 2 with their death,its a good evening were all done with every layer,47
token_set_ratio,2,650,56,piteous overthrows unfortunate pitiful downfall doth 2 with their death,its a good evening were all done with every layer,47
partial_token_sort_ratio,2,650,57,doth 2 with their death bury their parents strife do,its a good evening were all done with every layer,48
simple_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,a big civil hands are clean from fourth the fatal,65
partial_ratio,2,685,50,civil blood makes civil hands unclean civilian from forth the,a big civil hands are clean from fourth the fatal,73
token_sort_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,a big civil hands are clean from fourth the fatal,44
token_set_ratio,2,615,61,and the continuance of their parents rage 1010 which but,a big civil hands are clean from fourth the fatal,46
partial_token_sort_ratio,2,615,62,parents rage 1010 which but their childrens end naught could,a big civil hands are clean from fourth the fatal,49
simple_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,thats a plea from fourth and the fatal ones these,67
partial_ratio,2,685,51,unclean civilian from forth the fatal loins of these two,thats a plea from fourth and the fatal ones these,71
token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,thats a plea from fourth and the fatal ones these,49
token_set_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,thats a plea from fourth and the fatal ones these,52
partial_token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,thats a plea from fourth and the fatal ones these,55
simple_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,the fatal ones are these two foes the past star,65
partial_ratio,2,673,52,fatal loins of these two foes fateful children 105 a,the fatal ones are these two foes the past star,70
token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,the fatal ones are these two foes the past star,53
token_set_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,the fatal ones are these two foes the past star,50
partial_token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,the fatal ones are these two foes the past star,57
simple_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,the past star girls love to take their lander whose,59
partial_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,the past star girls love to take their lander whose,67
token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,the past star girls love to take their lander whose,51
token_set_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,the past star girls love to take their lander whose,57
partial_token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,the past star girls love to take their lander whose,53
simple_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,our girls love to take their letter whose misadventure pity,68
partial_ratio,2,662,54,pair of starcrossd lovers take their life doomed whose misadventured,our girls love to take their letter whose misadventure pity,73
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,our girls love to take their letter whose misadventure pity,46
token_set_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,our girls love to take their letter whose misadventure pity,50
partial_token_sort_ratio,2,592,66,of our stage performance the which if you with patient,our girls love to take their letter whose misadventure pity,51
simple_ratio,2,662,55,their life doomed whose misadventured piteous overthrows unfortunate pitiful downfall,whos misadventured pityous overcoast to with their death and their,54
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,whos misadventured pityous overcoast to with their death and their,63
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,whos misadventured pityous overcoast to with their death and their,48
token_set_ratio,2,627,60,of their deathmarkd love doomed and the continuance of their,whos misadventured pityous overcoast to with their death and their,52
partial_token_sort_ratio,2,533,70,strive to mend play act 1 scene 1 verona a,whos misadventured pityous overcoast to with their death and their,52
simple_ratio,2,650,57,doth 2 with their death bury their parents strife do,pityous overcrows to with their death and their parents strength,67
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,pityous overcrows to with their death and their parents strength,78
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,pityous overcrows to with their death and their parents strength,51
token_set_ratio,2,615,61,and the continuance of their parents rage 1010 which but,pityous overcrows to with their death and their parents strength,58
partial_token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,pityous overcrows to with their death and their parents strength,45
simple_ratio,2,638,58,bury their parents strife do end fighting the fearful passage,their death and their parents strength fear of the passage,64
partial_ratio,2,650,57,doth 2 with their death bury their parents strife do,their death and their parents strength fear of the passage,72
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,their death and their parents strength fear of the passage,52
token_set_ratio,2,615,61,and the continuance of their parents rage 1010 which but,their death and their parents strength fear of the passage,63
partial_token_sort_ratio,2,533,70,strive to mend play act 1 scene 1 verona a,their death and their parents strength fear of the passage,48
simple_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,theyre parents strength fearful passage of the death of our,67
partial_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,theyre parents strength fearful passage of the death of our,70
